GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 14:54:48 BST 2017

Gene	Score	Description
USP8	UPF2	0.01353372448430777	Co-expression	Wang-Maris-2006
USPL1	ASH2L	0.021068403245046646	Co-expression	Wang-Maris-2006
USPL1	BCLAF1	0.01293706293711939	Co-expression	Wang-Maris-2006
USPL1	KIAA0947	0.02828643171074929	Co-expression	Wang-Maris-2006
USPL1	MFAP1	0.020364069442380853	Co-expression	Wang-Maris-2006
USPL1	MORC3	0.023460294852624266	Co-expression	Wang-Maris-2006
USPL1	PCF11	0.01902045195054585	Co-expression	Wang-Maris-2006
USPL1	RBPJ	0.014870720845890912	Co-expression	Wang-Maris-2006
USPL1	SETD2	0.017306870501795035	Co-expression	Wang-Maris-2006
USPL1	UPF2	0.019099962258204525	Co-expression	Wang-Maris-2006
USPL1	UPF3A	0.029115052875220593	Co-expression	Wang-Maris-2006
USPL1	ZMYM2	0.02045274608483428	Co-expression	Wang-Maris-2006
VCAN	CDH11	0.02182044406271696	Co-expression	Wang-Maris-2006
VCAN	MYOF	0.008151736544658374	Co-expression	Wang-Maris-2006
VCAN	NSMAF	0.018465519855327336	Co-expression	Wang-Maris-2006
VCAN	PLOD2	0.01730879705140009	Co-expression	Wang-Maris-2006
WASF2	GPATCH8	0.009484461142336338	Co-expression	Wang-Maris-2006
WASF2	LIG4	0.01222942687342079	Co-expression	Wang-Maris-2006
WASF2	STX2	0.015264905074422014	Co-expression	Wang-Maris-2006
WASF2	WSB1	0.017720768647405467	Co-expression	Wang-Maris-2006
WSB1	JMJD1C	0.022028882336222636	Co-expression	Wang-Maris-2006
WSB1	MON2	0.020421269419843045	Co-expression	Wang-Maris-2006
WWP1	AHR	0.011953256264339072	Co-expression	Wang-Maris-2006
WWP1	SSFA2	0.02357232814100796	Co-expression	Wang-Maris-2006
XPO1	ALMS1	0.03127899435847926	Co-expression	Wang-Maris-2006
XPO1	BCLAF1	0.015601588994122898	Co-expression	Wang-Maris-2006
XPO1	CNOT2	0.026683664232708276	Co-expression	Wang-Maris-2006
XPO1	HNRNPA2B1	0.014098285175504998	Co-expression	Wang-Maris-2006
XPO1	HNRNPH3	0.020339115642539495	Co-expression	Wang-Maris-2006
XPO1	PUM2	0.026665079672293986	Co-expression	Wang-Maris-2006
XPO1	SMC3	0.014619879104856704	Co-expression	Wang-Maris-2006
XPO1	SNRNP200	0.014947333025048878	Co-expression	Wang-Maris-2006
XPO1	ZNF638	0.03189527986173811	Co-expression	Wang-Maris-2006
YTHDC2	C1orf63	0.018130625467694946	Co-expression	Wang-Maris-2006
YTHDC2	CHD1	0.014477242465275451	Co-expression	Wang-Maris-2006
YTHDC2	CREBZF	0.015565770672442683	Co-expression	Wang-Maris-2006
YTHDC2	DMTF1	0.012476672942131768	Co-expression	Wang-Maris-2006
YTHDC2	FNBP4	0.0174032145902341	Co-expression	Wang-Maris-2006
YTHDC2	KIAA0907	0.017790941002344806	Co-expression	Wang-Maris-2006
YTHDC2	KRIT1	0.01736602747720374	Co-expression	Wang-Maris-2006
YTHDC2	LUC7L3	0.01986503635003491	Co-expression	Wang-Maris-2006
YTHDC2	MAML1	0.015228890222537837	Co-expression	Wang-Maris-2006
YTHDC2	MAP4K5	0.017322963834271753	Co-expression	Wang-Maris-2006
YTHDC2	MON2	0.010536391827085106	Co-expression	Wang-Maris-2006
YTHDC2	N4BP2L2	0.018996051756912845	Co-expression	Wang-Maris-2006
YTHDC2	OGT	0.01999506184018996	Co-expression	Wang-Maris-2006
YTHDC2	PAN2	0.012112530154496749	Co-expression	Wang-Maris-2006
YTHDC2	PHF3	0.01088608341665892	Co-expression	Wang-Maris-2006
YTHDC2	PNISR	0.011483941445265093	Co-expression	Wang-Maris-2006
YTHDC2	PPIG	0.013587129491211724	Co-expression	Wang-Maris-2006
YTHDC2	PPWD1	0.01438279171006894	Co-expression	Wang-Maris-2006
YTHDC2	PRPF4B	0.023891543016804375	Co-expression	Wang-Maris-2006
YTHDC2	RBM39	0.010103191509012809	Co-expression	Wang-Maris-2006
YTHDC2	SF3B1	0.013624925571071268	Co-expression	Wang-Maris-2006
YTHDC2	SLC11A2	0.018388156155741534	Co-expression	Wang-Maris-2006
YTHDC2	SMC5	0.013149741834181022	Co-expression	Wang-Maris-2006
YTHDC2	SMCHD1	0.01377820390599252	Co-expression	Wang-Maris-2006
YTHDC2	SREK1	0.0180488896630787	Co-expression	Wang-Maris-2006
YTHDC2	SRSF11	0.014785495938146544	Co-expression	Wang-Maris-2006
YTHDC2	TCERG1	0.01090095466343071	Co-expression	Wang-Maris-2006
YTHDC2	TIA1	0.012158454557510382	Co-expression	Wang-Maris-2006
YTHDC2	U2SURP	0.013810246633331788	Co-expression	Wang-Maris-2006
YTHDC2	UBR5	0.015353130527815635	Co-expression	Wang-Maris-2006
YTHDC2	ZFC3H1	0.02127338147975014	Co-expression	Wang-Maris-2006
YTHDF3	DHX29	0.02185761595157659	Co-expression	Wang-Maris-2006
YTHDF3	PHF3	0.014762598785369207	Co-expression	Wang-Maris-2006
YTHDF3	RAD21	0.019502658182189006	Co-expression	Wang-Maris-2006
YTHDF3	SCAF8	0.02796225375529502	Co-expression	Wang-Maris-2006
YTHDF3	SEC24A	0.029648283607071807	Co-expression	Wang-Maris-2006
YTHDF3	ZFX	0.03388729340093175	Co-expression	Wang-Maris-2006
ZBTB11	CRY1	0.026688807234383844	Co-expression	Wang-Maris-2006
ZBTB11	DDX5	0.023014427332497173	Co-expression	Wang-Maris-2006
ZBTB11	DHX29	0.01958534480546809	Co-expression	Wang-Maris-2006
ZBTB11	HNRNPA2B1	0.01221108451572265	Co-expression	Wang-Maris-2006
ZBTB11	HNRNPH3	0.014185647003213595	Co-expression	Wang-Maris-2006
ZBTB11	KDM6A	0.027905448222256282	Co-expression	Wang-Maris-2006
ZBTB11	KIAA0907	0.021114734548623417	Co-expression	Wang-Maris-2006
ZBTB11	MAGOH	0.02078094322136116	Co-expression	Wang-Maris-2006
ZBTB11	NUP153	0.014325654013305187	Co-expression	Wang-Maris-2006
ZBTB11	PCF11	0.01941437736817455	Co-expression	Wang-Maris-2006
ZBTB11	PNN	0.018605302654904548	Co-expression	Wang-Maris-2006
ZBTB11	RAD21	0.016113784074072348	Co-expression	Wang-Maris-2006
ZBTB11	RBM39	0.01610810407437468	Co-expression	Wang-Maris-2006
ZBTB11	SLC25A36	0.02992965673049649	Co-expression	Wang-Maris-2006
ZBTB11	SNAPC1	0.019819160387564507	Co-expression	Wang-Maris-2006
ZBTB11	STRN3	0.02670868169726359	Co-expression	Wang-Maris-2006
ZBTB11	ZFX	0.02154460561736025	Co-expression	Wang-Maris-2006
ZBTB5	RBM12	0.012464130993481608	Co-expression	Wang-Maris-2006
ZC3H11A	DDX17	0.024925934072857106	Co-expression	Wang-Maris-2006
ZC3H11A	DMTF1	0.012753667040448405	Co-expression	Wang-Maris-2006
ZC3H11A	FNBP4	0.01930327829026745	Co-expression	Wang-Maris-2006
ZC3H11A	KIAA0907	0.02346075711380824	Co-expression	Wang-Maris-2006
ZC3H11A	KIAA0947	0.022109797419635	Co-expression	Wang-Maris-2006
ZC3H11A	LUC7L3	0.020411786145494017	Co-expression	Wang-Maris-2006
ZC3H11A	MTF2	0.02090271582696524	Co-expression	Wang-Maris-2006
ZC3H11A	OGT	0.02190011353216054	Co-expression	Wang-Maris-2006
ZC3H11A	PAN2	0.015875999135462063	Co-expression	Wang-Maris-2006
ZC3H11A	PCF11	0.01908566122582734	Co-expression	Wang-Maris-2006
ZC3H11A	PNISR	0.011069793484853145	Co-expression	Wang-Maris-2006
ZC3H11A	PNN	0.01699545040141218	Co-expression	Wang-Maris-2006
ZC3H11A	PPWD1	0.020333745662318506	Co-expression	Wang-Maris-2006
ZC3H11A	PRPF3	0.013308028921272318	Co-expression	Wang-Maris-2006
ZC3H11A	RBM39	0.012112126021964653	Co-expression	Wang-Maris-2006
ZC3H11A	RBM5	0.021657137151331458	Co-expression	Wang-Maris-2006
ZC3H11A	RBM6	0.020831387819065968	Co-expression	Wang-Maris-2006
ZC3H11A	RBPJ	0.014938550062553414	Co-expression	Wang-Maris-2006
ZC3H11A	RSRC2	0.01862118146497553	Co-expression	Wang-Maris-2006
ZC3H11A	SMC5	0.018548260455211733	Co-expression	Wang-Maris-2006
ZC3H11A	SRRM2	0.0142970381083956	Co-expression	Wang-Maris-2006
ZC3H11A	SRSF11	0.016061890412117186	Co-expression	Wang-Maris-2006
ZC3H11A	TCERG1	0.013531334289503219	Co-expression	Wang-Maris-2006
ZC3H11A	TRA2A	0.025975408130056325	Co-expression	Wang-Maris-2006
ZC3H11A	U2SURP	0.018603998912283884	Co-expression	Wang-Maris-2006
ZC3H11A	UBR5	0.020921000056011507	Co-expression	Wang-Maris-2006
ZCCHC11	C1orf63	0.018455329349047145	Co-expression	Wang-Maris-2006
ZCCHC11	C2CD5	0.009810829302352388	Co-expression	Wang-Maris-2006
ZCCHC11	CRLF3	0.016682217240696982	Co-expression	Wang-Maris-2006
ZCCHC11	DDX5	0.016157697502534152	Co-expression	Wang-Maris-2006
ZCCHC11	DMTF1	0.010989350350733399	Co-expression	Wang-Maris-2006
ZCCHC11	FOXJ3	0.01477189798565396	Co-expression	Wang-Maris-2006
ZCCHC11	IFRD1	0.01621224709027387	Co-expression	Wang-Maris-2006
ZCCHC11	NCOA6	0.01646665543930537	Co-expression	Wang-Maris-2006
ZCCHC11	PNISR	0.008267572415685666	Co-expression	Wang-Maris-2006
ZCCHC11	PRPSAP1	0.015298496515129142	Co-expression	Wang-Maris-2006
ZCCHC11	PUM1	0.012743472382121647	Co-expression	Wang-Maris-2006
ZCCHC11	REV3L	0.011182437124081542	Co-expression	Wang-Maris-2006
ZCCHC11	RLF	0.017839864566992172	Co-expression	Wang-Maris-2006
ZCCHC11	SF3B1	0.011544132972275654	Co-expression	Wang-Maris-2006
ZCCHC11	SPEN	0.016935349527418236	Co-expression	Wang-Maris-2006
ZCCHC11	SRRM1	0.021313508241746833	Co-expression	Wang-Maris-2006
ZCCHC11	SRSF11	0.013879011444486403	Co-expression	Wang-Maris-2006
ZCCHC11	SRSF4	0.012301193614240178	Co-expression	Wang-Maris-2006
ZCCHC11	TIA1	0.01228218692909202	Co-expression	Wang-Maris-2006
ZDHHC17	C1orf63	0.0152237956614055	Co-expression	Wang-Maris-2006
ZDHHC17	C2CD5	0.008272828214626184	Co-expression	Wang-Maris-2006
ZDHHC17	DAAM1	0.012125701830208904	Co-expression	Wang-Maris-2006
ZDHHC17	DMTF1	0.009720718819819337	Co-expression	Wang-Maris-2006
ZDHHC17	IFRD1	0.013134411094256306	Co-expression	Wang-Maris-2006
ZDHHC17	MGEA5	0.011771692804217724	Co-expression	Wang-Maris-2006
ZDHHC17	MON2	0.009163762601901548	Co-expression	Wang-Maris-2006
ZDHHC17	N4BP2L2	0.014831382972741114	Co-expression	Wang-Maris-2006
ZDHHC17	PHF3	0.0077668847327845205	Co-expression	Wang-Maris-2006
ZDHHC17	PNISR	0.006973227260409291	Co-expression	Wang-Maris-2006
ZDHHC17	POT1	0.008840871088873933	Co-expression	Wang-Maris-2006
ZDHHC17	PPIG	0.01052662690557758	Co-expression	Wang-Maris-2006
ZDHHC17	REV3L	0.010195854808174112	Co-expression	Wang-Maris-2006
ZDHHC17	SERINC1	0.006725354924675119	Co-expression	Wang-Maris-2006
ZDHHC17	SF3B1	0.00989161498031355	Co-expression	Wang-Maris-2006
ZDHHC17	SLC25A36	0.015471974556577547	Co-expression	Wang-Maris-2006
ZDHHC17	SLC35A1	0.009612521330451748	Co-expression	Wang-Maris-2006
ZDHHC17	SRSF11	0.009450888385838742	Co-expression	Wang-Maris-2006
ZDHHC17	TANK	0.008666977150761505	Co-expression	Wang-Maris-2006
ZDHHC17	TIA1	0.009571544782925238	Co-expression	Wang-Maris-2006
ZDHHC17	UPF3A	0.012343277374183387	Co-expression	Wang-Maris-2006
ZDHHC17	WSB1	0.014558507704614596	Co-expression	Wang-Maris-2006
ZDHHC17	YTHDC2	0.008995454550431367	Co-expression	Wang-Maris-2006
ZDHHC17	ZCCHC11	0.009647594359773972	Co-expression	Wang-Maris-2006
ZDHHC17	ZFC3H1	0.01445893055591877	Co-expression	Wang-Maris-2006
ZDHHC17	ZMYM2	0.008623141919176631	Co-expression	Wang-Maris-2006
ZFC3H1	N4BP2L2	0.030293068757936484	Co-expression	Wang-Maris-2006
ZFC3H1	SLC11A2	0.02801054205681831	Co-expression	Wang-Maris-2006
ZFC3H1	SMC5	0.018177590650380274	Co-expression	Wang-Maris-2006
ZFP36	ANXA4	0.009234209683921784	Co-expression	Wang-Maris-2006
ZFP36	IFITM2	0.013700894183012027	Co-expression	Wang-Maris-2006
ZFP36	TNFAIP3	0.020004684900106595	Co-expression	Wang-Maris-2006
ZFYVE26	STX16	0.012305492366448012	Co-expression	Wang-Maris-2006
ZMYM2	DHX29	0.01293323059814209	Co-expression	Wang-Maris-2006
ZMYM2	KRIT1	0.016543415708124072	Co-expression	Wang-Maris-2006
ZMYM2	MGEA5	0.016094798149157	Co-expression	Wang-Maris-2006
ZMYM2	N4BP2L2	0.0214328269878324	Co-expression	Wang-Maris-2006
ZMYM2	NUP153	0.012115995729361017	Co-expression	Wang-Maris-2006
ZMYM2	PHF3	0.010411683032553493	Co-expression	Wang-Maris-2006
ZMYM2	PRPSAP1	0.015237230300066624	Co-expression	Wang-Maris-2006
ZMYM2	RAD21	0.01147824829741998	Co-expression	Wang-Maris-2006
ZMYM2	RLF	0.01755620228189597	Co-expression	Wang-Maris-2006
ZMYM2	UPF2	0.015307383278788673	Co-expression	Wang-Maris-2006
ZMYM2	UPF3A	0.025405885743216762	Co-expression	Wang-Maris-2006
ZMYM2	USP8	0.011796722724912726	Co-expression	Wang-Maris-2006
ZNF217	AASS	0.03599750463363906	Co-expression	Wang-Maris-2006
ZNF217	CBLB	0.04013761821443944	Co-expression	Wang-Maris-2006
ZNF217	PRPS2	0.03149479559455599	Co-expression	Wang-Maris-2006
ZNF266	HNRNPA1	0.02025930500351279	Co-expression	Wang-Maris-2006
ZNF266	MARK3	0.02193208982675481	Co-expression	Wang-Maris-2006
ZNF266	RBM39	0.020508119161808915	Co-expression	Wang-Maris-2006
ZNF266	SF3B1	0.022493160030808396	Co-expression	Wang-Maris-2006
ZNF266	SRSF1	0.01474371942964897	Co-expression	Wang-Maris-2006
ZNF266	SRSF11	0.018858201043002773	Co-expression	Wang-Maris-2006
ZNF266	TCERG1	0.018230226144654627	Co-expression	Wang-Maris-2006
ZNF266	ZFX	0.030347383063037657	Co-expression	Wang-Maris-2006
ZNF292	AUTS2	0.01833148072016175	Co-expression	Wang-Maris-2006
ZNF292	RBM12	0.01931114918653466	Co-expression	Wang-Maris-2006
ZNF451	ANKRD28	0.017587148868942706	Co-expression	Wang-Maris-2006
ZNF451	BCLAF1	0.009926898379994947	Co-expression	Wang-Maris-2006
ZNF451	C2CD5	0.008946791180701925	Co-expression	Wang-Maris-2006
ZNF451	CHD1	0.01582484730582609	Co-expression	Wang-Maris-2006
ZNF451	DAAM1	0.01805772937021052	Co-expression	Wang-Maris-2006
ZNF451	DHX29	0.014555367373397732	Co-expression	Wang-Maris-2006
ZNF451	MAP3K7	0.011558283146961069	Co-expression	Wang-Maris-2006
ZNF451	MLH3	0.018966381232176352	Co-expression	Wang-Maris-2006
ZNF451	MORC3	0.01761766087511589	Co-expression	Wang-Maris-2006
ZNF451	N4BP2L2	0.0201580462759591	Co-expression	Wang-Maris-2006
ZNF451	NUP153	0.014010290852703366	Co-expression	Wang-Maris-2006
ZNF451	PCF11	0.01502908128580481	Co-expression	Wang-Maris-2006
ZNF451	PHF3	0.013847060062171509	Co-expression	Wang-Maris-2006
ZNF451	PHKB	0.014505367044675128	Co-expression	Wang-Maris-2006
ZNF451	PNISR	0.010795793012108156	Co-expression	Wang-Maris-2006
ZNF451	PPIG	0.016875600193366595	Co-expression	Wang-Maris-2006
ZNF451	PRPF4B	0.021647372921831696	Co-expression	Wang-Maris-2006
ZNF451	RBM39	0.011982485288124406	Co-expression	Wang-Maris-2006
ZNF451	RLF	0.016480743333292344	Co-expression	Wang-Maris-2006
ZNF451	SCAF8	0.016824471891994475	Co-expression	Wang-Maris-2006
ZNF451	SF3B1	0.014154476205652475	Co-expression	Wang-Maris-2006
ZNF451	SMCHD1	0.0142209144867165	Co-expression	Wang-Maris-2006
ZNF451	SREK1	0.01580419225819257	Co-expression	Wang-Maris-2006
ZNF451	SRSF11	0.012483065709822683	Co-expression	Wang-Maris-2006
ZNF451	USP8	0.013154985868989614	Co-expression	Wang-Maris-2006
ZNF451	YTHDC2	0.01408455574153793	Co-expression	Wang-Maris-2006
ZNF451	YTHDF3	0.018783527869589547	Co-expression	Wang-Maris-2006
ZNF451	ZFC3H1	0.01707425070910865	Co-expression	Wang-Maris-2006
ZNF451	ZMYM2	0.011825118571354492	Co-expression	Wang-Maris-2006
ZNF638	BCLAF1	0.01564640341668879	Co-expression	Wang-Maris-2006
ZNF638	CEBPZ	0.024122407877810288	Co-expression	Wang-Maris-2006
ZNF638	HNRNPA1	0.018650903198286297	Co-expression	Wang-Maris-2006
ZNF638	PPIG	0.022250084000861814	Co-expression	Wang-Maris-2006
ZNF638	PUM2	0.026484263580553908	Co-expression	Wang-Maris-2006
ZNF638	SNRNP200	0.015252785250505723	Co-expression	Wang-Maris-2006
ABI1	RBPJ	0.012483694924738015	Co-expression	Wu-Garvey-2007
ABI1	STRN3	0.005339572080303897	Co-expression	Wu-Garvey-2007
ACTN1	HCLS1	0.012875259817320262	Co-expression	Wu-Garvey-2007
ACTN1	LAPTM5	0.015002483689665664	Co-expression	Wu-Garvey-2007
ADAM17	STX16	0.0186088009740539	Co-expression	Wu-Garvey-2007
ADNP	ABI1	0.0077484461977447745	Co-expression	Wu-Garvey-2007
ADNP	AUTS2	0.006617112718524051	Co-expression	Wu-Garvey-2007
ADNP	CREG1	0.005607280349464471	Co-expression	Wu-Garvey-2007
ADNP	HIPK1	0.004004596212868487	Co-expression	Wu-Garvey-2007
ADNP	IFRD1	0.005910454803775114	Co-expression	Wu-Garvey-2007
ADNP	KRIT1	0.008073328091715647	Co-expression	Wu-Garvey-2007
ADNP	OGT	0.007344199754281347	Co-expression	Wu-Garvey-2007
ADNP	PABPC1	0.0075955532747324144	Co-expression	Wu-Garvey-2007
ADNP	SLC35A3	0.005683944397124161	Co-expression	Wu-Garvey-2007
ADNP	SPEN	0.0052828271861052834	Co-expression	Wu-Garvey-2007
ADNP	STRN3	0.0017436273568915144	Co-expression	Wu-Garvey-2007
ADNP	TMED10	0.007772840897975238	Co-expression	Wu-Garvey-2007
ADNP	ZFC3H1	0.004793643410941327	Co-expression	Wu-Garvey-2007
AHR	DENND4A	0.014482946646087147	Co-expression	Wu-Garvey-2007
AHR	HEXB	0.00509348393004458	Co-expression	Wu-Garvey-2007
AHR	ITGA6	0.01300648574020421	Co-expression	Wu-Garvey-2007
AHR	LPP	0.015735186452266497	Co-expression	Wu-Garvey-2007
AHR	MON2	0.018652104913065824	Co-expression	Wu-Garvey-2007
AMD1	SEC24A	0.01169097774968452	Co-expression	Wu-Garvey-2007
AMD1	SPEN	0.013257289569320097	Co-expression	Wu-Garvey-2007
ANKRD17	CHD1	0.012002171041070302	Co-expression	Wu-Garvey-2007
ANKRD17	HNRNPA2B1	0.00534126016235341	Co-expression	Wu-Garvey-2007
ANKRD17	HNRNPK	0.00836028271504684	Co-expression	Wu-Garvey-2007
ANKRD17	MARCH7	0.004488924023366375	Co-expression	Wu-Garvey-2007
ANKRD17	NBN	0.004879540913118608	Co-expression	Wu-Garvey-2007
ANKRD17	PCF11	0.012441370123416883	Co-expression	Wu-Garvey-2007
ANKRD17	PPIG	0.014105463299505374	Co-expression	Wu-Garvey-2007
ANKRD17	RAD21	0.004728022576316166	Co-expression	Wu-Garvey-2007
ANKRD17	RSRC2	0.005462695424073363	Co-expression	Wu-Garvey-2007
ANKRD17	SERINC1	0.006878869576939786	Co-expression	Wu-Garvey-2007
ANKRD17	SH3GLB1	0.006993080119470515	Co-expression	Wu-Garvey-2007
ANKRD17	STRN3	0.003715810716574542	Co-expression	Wu-Garvey-2007
ANKRD17	TARDBP	0.007346239624470497	Co-expression	Wu-Garvey-2007
ANKRD17	ZCCHC11	0.008280296899826501	Co-expression	Wu-Garvey-2007
ANKS1A	KIAA0141	0.018114556889332993	Co-expression	Wu-Garvey-2007
ANXA4	SMCHD1	0.006305826380427884	Co-expression	Wu-Garvey-2007
ANXA4	TMX1	0.007297204008099021	Co-expression	Wu-Garvey-2007
ANXA4	TNFAIP3	0.009954737585853435	Co-expression	Wu-Garvey-2007
ASH2L	NUP153	0.0068016171877729095	Co-expression	Wu-Garvey-2007
ASH2L	PUM1	0.007196747916594574	Co-expression	Wu-Garvey-2007
ASH2L	RAP1B	0.004998831806036211	Co-expression	Wu-Garvey-2007
ASH2L	RBPJ	0.010194752291028527	Co-expression	Wu-Garvey-2007
ASH2L	SMNDC1	0.010360704677715007	Co-expression	Wu-Garvey-2007
ASH2L	TCF12	0.006544121152948759	Co-expression	Wu-Garvey-2007
ASH2L	YTHDF3	0.005569615041101712	Co-expression	Wu-Garvey-2007
ATRX	KCTD12	0.010822479039232114	Co-expression	Wu-Garvey-2007
ATRX	NUP153	0.007130618903781942	Co-expression	Wu-Garvey-2007
ATRX	SCAF8	0.012710001702242018	Co-expression	Wu-Garvey-2007
ATRX	SREK1	0.008027275696027812	Co-expression	Wu-Garvey-2007
ATRX	TCERG1	0.011723926305574821	Co-expression	Wu-Garvey-2007
ATRX	TIA1	0.011992328846343632	Co-expression	Wu-Garvey-2007
ATRX	U2SURP	0.013201458680115005	Co-expression	Wu-Garvey-2007
ATRX	YTHDF3	0.005833073580701556	Co-expression	Wu-Garvey-2007
ATRX	ZFX	0.008489972651465554	Co-expression	Wu-Garvey-2007
ATXN2	MLH3	0.014525006622155653	Co-expression	Wu-Garvey-2007
ATXN2	RBM39	0.008430150058385063	Co-expression	Wu-Garvey-2007
ATXN2	SRRM1	0.012170300720779728	Co-expression	Wu-Garvey-2007
B2M	AKR1B1	0.005878588452700951	Co-expression	Wu-Garvey-2007
B2M	PSAP	0.006816395868357325	Co-expression	Wu-Garvey-2007
BBX	CHD1	0.014722809613549926	Co-expression	Wu-Garvey-2007
BBX	DEK	0.006395794676184391	Co-expression	Wu-Garvey-2007
BBX	FOXJ3	0.005484099746180924	Co-expression	Wu-Garvey-2007
BBX	HNRNPK	0.009784237362261038	Co-expression	Wu-Garvey-2007
BBX	NBN	0.00545420526962294	Co-expression	Wu-Garvey-2007
BBX	PPIG	0.01832450032920038	Co-expression	Wu-Garvey-2007
BBX	RAD21	0.005407607834935443	Co-expression	Wu-Garvey-2007
BBX	REV3L	0.009360926363584201	Co-expression	Wu-Garvey-2007
BBX	SERINC1	0.0075329493007554186	Co-expression	Wu-Garvey-2007
BBX	SH3GLB1	0.008012114092442978	Co-expression	Wu-Garvey-2007
BBX	STRN3	0.004371174484993451	Co-expression	Wu-Garvey-2007
BBX	ZCCHC11	0.009560599593857156	Co-expression	Wu-Garvey-2007
BBX	ZNF451	0.008443394899736022	Co-expression	Wu-Garvey-2007
BCLAF1	N4BP2L2	0.010296178215552728	Co-expression	Wu-Garvey-2007
BCLAF1	PALLD	0.007127655723928228	Co-expression	Wu-Garvey-2007
BCLAF1	PHF3	0.006863442432358398	Co-expression	Wu-Garvey-2007
BIRC2	CEBPZ	0.004962882493736081	Co-expression	Wu-Garvey-2007
BIRC2	EPS8	0.0044193415461107055	Co-expression	Wu-Garvey-2007
BIRC2	HNRNPH3	0.0035140296204394642	Co-expression	Wu-Garvey-2007
BIRC2	KAT6A	0.006887268116167679	Co-expression	Wu-Garvey-2007
BIRC2	MORC3	0.0025516292434851207	Co-expression	Wu-Garvey-2007
BIRC2	NR3C1	0.008358909202452811	Co-expression	Wu-Garvey-2007
BIRC2	PNISR	0.0021587867479949344	Co-expression	Wu-Garvey-2007
BIRC2	PNN	0.008511870121138142	Co-expression	Wu-Garvey-2007
BIRC2	RAP1B	0.00225870996814646	Co-expression	Wu-Garvey-2007
BIRC2	RASA1	0.007030431216249752	Co-expression	Wu-Garvey-2007
BIRC2	SETD2	0.004946386385601186	Co-expression	Wu-Garvey-2007
BIRC2	SMC5	0.006546146708259388	Co-expression	Wu-Garvey-2007
BIRC2	TCERG1	0.004873365116652964	Co-expression	Wu-Garvey-2007
BIRC2	TCF12	0.002971840355218374	Co-expression	Wu-Garvey-2007
BIRC2	TOP2B	0.008601175638019157	Co-expression	Wu-Garvey-2007
BIRC2	UPF2	0.003932156485860154	Co-expression	Wu-Garvey-2007
BIRC2	UPF3A	0.0027137912292753913	Co-expression	Wu-Garvey-2007
BIRC2	ZNF292	0.007640292996059933	Co-expression	Wu-Garvey-2007
BNIP2	ABCA8	0.014820976755978967	Co-expression	Wu-Garvey-2007
BNIP2	PNISR	0.003956066269580741	Co-expression	Wu-Garvey-2007
BNIP2	RAP1B	0.004381735286621843	Co-expression	Wu-Garvey-2007
BNIP2	RBPJ	0.008485056922181664	Co-expression	Wu-Garvey-2007
BNIP2	TCF12	0.0054947843715085175	Co-expression	Wu-Garvey-2007
BTG1	HMGN4	0.01078506424124346	Co-expression	Wu-Garvey-2007
C1orf63	RAP1B	0.005204745965472078	Co-expression	Wu-Garvey-2007
C1orf63	SSFA2	0.009863871031469774	Co-expression	Wu-Garvey-2007
C1orf63	STAG2	0.015509435092049084	Co-expression	Wu-Garvey-2007
C1orf63	U2SURP	0.012087587921201263	Co-expression	Wu-Garvey-2007
C1orf63	UPF3A	0.005819035337208606	Co-expression	Wu-Garvey-2007
C2CD5	ANXA4	0.007868376249988311	Co-expression	Wu-Garvey-2007
C2CD5	C1orf63	0.007939934896223716	Co-expression	Wu-Garvey-2007
C2CD5	CBLB	0.00923028663497566	Co-expression	Wu-Garvey-2007
C2CD5	CEP57	0.008550908226351003	Co-expression	Wu-Garvey-2007
C2CD5	CREBZF	0.0047116495761365465	Co-expression	Wu-Garvey-2007
C2CD5	DHX15	0.003013945065282258	Co-expression	Wu-Garvey-2007
